Make,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
JEEP,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
AUDI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
VOLVO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
CHEVROLET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
VOLVO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
JEEP,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
FIAT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
VOLVO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
KIA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
TESLA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched
KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched
KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
HYUNDAI,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
KIA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
CADILLAC,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
JEEP,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
KIA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
AUDI,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
FORD,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched
VOLVO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched
CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
KIA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
CHEVROLET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
BMW,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched
PORSCHE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
AUDI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
KIA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
VOLKSWAGEN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched
AUDI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
BMW,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched
BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
POLESTAR,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
KIA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible
VOLVO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
JEEP,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
FIAT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
VOLVO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
BMW,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible
